Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kochian, L.V., Piñeros, M.A., Liu, J., Magalhaes, J.V.","Plant adaptation to acid soils: The molecular basis for crop aluminum resistance",2015,"Annual Review of Plant Biology","66",,,"571","598",,4,10.1146/annurev-arplant-043014-114822,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928893389&partnerID=40&md5=7a761b44c21c9bffa2b0e3802bb2fa3c",Article,Scopus,2-s2.0-84928893389
"Milner, M.J., Piñeros, M., Kochian, L.V.","Molecular and physiological mechanisms of plant tolerance to toxic metals",2014,"Plant Abiotic Stress, Second Edition",,,,"179","201",,1,10.1002/9781118764374.ch7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926438521&partnerID=40&md5=1540f0a16bf10a0955a63c7a9d653e12",Book Chapter,Scopus,2-s2.0-84926438521
"Zhai, Z., Gayomba, S.R., Jung, H.-I., Vimalakumari, N.K., Piñeros, M., Craft, E., Rutzke, M.A., Danku, J., Lahner, B., Punshon, T., Guerinot, M.L., Salt, D.E., Kochian, L.V., Vatamaniuk, O.K.","OPT3 is a phloem-specific iron transporter that is essential for systemic iron signaling and redistribution of iron and cadmium in arabidopsis",2014,"Plant Cell","26","5",,"2249","2264",,10,10.1105/tpc.114.123737,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903616546&partnerID=40&md5=6eb955bfa0f0aefcaa7f29dcc56d9f1e",Article,Scopus,2-s2.0-84903616546
"Liu, J., Piñeros, M.A., Kochian, L.V.","The role of aluminum sensing and signaling in plant aluminum resistance",2014,"Journal of Integrative Plant Biology","56","3",,"221","230",,13,10.1111/jipb.12162,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895859873&partnerID=40&md5=1919688ef5c2e1c180e22c7a9b364edb",Review,Scopus,2-s2.0-84895859873
"Wang, X., Wang, Y., Piñeros, M.A., Wang, Z., Wang, W., Li, C., Wu, Z., Kochian, L.V., Wu, P.","Phosphate transporters OsPHT1;9 and OsPHT1;10 are involved in phosphate uptake in rice",2014,"Plant, Cell and Environment","37","5",,"1159","1170",,4,10.1111/pce.12224,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898058488&partnerID=40&md5=e080fd1e52cb41bddf4d218edb45c887",Article,Scopus,2-s2.0-84898058488
"Matonyei, T.K., Cheprot, R.K., Liu, J., Piñeros, M.A., Shaff, J.E., Gudu, S., Were, B., Magalhaes, J.V., Kochian, L.V.","Physiological and molecular analysis of aluminum tolerance in selected Kenyan maize lines",2014,"Plant and Soil","377","1-2",,"357","367",,1,10.1007/s11104-013-1976-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898058493&partnerID=40&md5=e284ae316fdf51095575e3fad9e6c92c",Article,Scopus,2-s2.0-84898058493
"Ligaba, A., Dreyer, I., Margaryan, A., Schneider, D.J., Kochian, L., Piñeros, M.","Functional, structural and phylogenetic analysis of domains underlying the Al sensitivity of the aluminum-activated malate/anion transporter, TaALMT1",2013,"Plant Journal","76","5",,"766","780",,10,10.1111/tpj.12332,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889081745&partnerID=40&md5=ca3aba0e27d0f53cc8f97b478f889ecf",Article,Scopus,2-s2.0-84889081745
"Maron, L.G., Guimarães, C.T., Kirst, M., Albert, P.S., Birchler, J.A., Bradbury, P.J., Buckler, E.S., Coluccio, A.E., Danilova, T.V., Kudrna, D., Magalhaes, J.V., Piñeros, M.A., Schatz, M.C., Wing, R.A., Kochian, L.V.","Aluminum tolerance in maize is associated with higher MATE1 gene copy number",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","13",,"5241","5246",,54,10.1073/pnas.1220766110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875508685&partnerID=40&md5=23eed01cc8f7c5efde28f6e09f3dfdd6",Article,Scopus,2-s2.0-84875508685
"Liang, C., Piñeros, M.A., Tian, J., Yao, Z., Sun, L., Liu, J., Shaff, J., Coluccio, A., Kochian, L.V., Liao, H.","Low pH, aluminum, and phosphorus coordinately regulate malate exudation through GmALMT1 to improve soybean adaptation to acid soils",2013,"Plant Physiology","161","3",,"1347","1361",,28,10.1104/pp.112.208934,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874640804&partnerID=40&md5=41db10f993d116b5ab1779b54d28a83b",Article,Scopus,2-s2.0-84874640804
"Melo, J.O., Lana, U.G.P., Piñeros, M.A., Alves, V.M.C., Guimarães, C.T., Liu, J., Zheng, Y., Zhong, S., Fei, Z., Maron, L.G., Schaffert, R.E., Kochian, L.V., Magalhaes, J.V.","Incomplete transfer of accessory loci influencing SbMATE expression underlies genetic background effects for aluminum tolerance in sorghum",2013,"Plant Journal","73","2",,"276","288",,7,10.1111/tpj.12029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872498928&partnerID=40&md5=78d3267d077463a24ae8a62532b6b014",Article,Scopus,2-s2.0-84872498928
"Ligaba, A., Maron, L., Shaff, J., Kochian, L., Piñeros, M.","Maize ZmALMT2 is a root anion transporter that mediates constitutive root malate efflux",2012,"Plant, Cell and Environment","35","7",,"1185","1200",,16,10.1111/j.1365-3040.2011.02479.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862115169&partnerID=40&md5=ade8360fa7307044d117e25637a4f3a0",Article,Scopus,2-s2.0-84862115169
"Yang, X.Y., Yang, J.L., Zhou, Y., Piñeros, M.A., Kochian, L.V., Li, G.X., Zheng, S.J.","A de novo synthesis citrate transporter, Vigna umbellata multidrug and toxic compound extrusion, implicates in Al-activated citrate efflux in rice bean (Vigna umbellata) root apex",2011,"Plant, Cell and Environment","34","12",,"2138","2148",,26,10.1111/j.1365-3040.2011.02410.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80855130516&partnerID=40&md5=be92126f682b208ef3a2addd33cba2a0",Article,Scopus,2-s2.0-80855130516
"Piñeros, M.A., Tester, M.","Calcium inhibits dihydropyridine-stimulated increases in opening and unitary conductance of a plant Ca2+ channel",2011,"Journal of Membrane Biology","240","1",,"13","20",,1,10.1007/s00232-011-9338-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952362207&partnerID=40&md5=f5f06638d7eb8125c2512ea1e59fd9c4",Article,Scopus,2-s2.0-79952362207
"Maron, L.G., Piñeros, M.A., Guimarães, C.T., Magalhaes, J.V., Pleiman, J.K., Mao, C., Shaff, J., Belicuas, S.N.J., Kochian, L.V.","Two functionally distinct members of the MATE (multi-drug and toxic compound extrusion) family of transporters potentially underlie two major aluminum tolerance QTLs in maize",2010,"Plant Journal","61","5",,"728","740",,87,10.1111/j.1365-313X.2009.04103.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950141101&partnerID=40&md5=f2f7f76e52ed00bbe3cd25af129d6f3b",Article,Scopus,2-s2.0-77950141101
"Cançado, G.M.A., Ribeiro, A.P., Piñeros, M.A., Miyata, L.Y., Alvarenga, Â.A., Villa, F., Pasqual, M., Purgatto, E.","Evaluation of aluminium tolerance in grapevine rootstocks",2009,"Vitis - Journal of Grapevine Research","48","4",,"167","173",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350540281&partnerID=40&md5=dac5e8d72848e232d02fc90e92bc8ecd",Article,Scopus,2-s2.0-70350540281
"Ligaba, A., Kochian, L., Piñeros, M.","Phosphorylation at S384 regulates the activity of the TaALMT1 malate transporter that underlies aluminum resistance in wheat",2009,"Plant Journal","60","3",,"411","423",,23,10.1111/j.1365-313X.2009.03964.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350784296&partnerID=40&md5=e389b47b7d0eb20d2a0b95603450d1b2",Article,Scopus,2-s2.0-70350784296
"Piñeros, M.A., Cançado, G.M.A., Kochian, L.V.","Novel properties of the wheat aluminum tolerance organic acid transporter (TaALMT1) revealed by electrophysiological characterization in Xenopus oocytes: Functional and structural implications",2008,"Plant Physiology","147","4",,"2131","2146",,45,10.1104/pp.108.119636,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51749103887&partnerID=40&md5=1de0b7523c2eaa961890bb30841d2a80",Article,Scopus,2-s2.0-51749103887
"Piñeros, M.A., Cançado, G.M.A., Maron, L.G., Lyi, S.M., Menossi, M., Kochian, L.V.","Not all ALMT1-type transporters mediate aluminum-activated organic acid responses: The case of ZmALMT1 - An anion-selective transporter",2008,"Plant Journal","53","2",,"352","367",,44,10.1111/j.1365-313X.2007.03344.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37749035651&partnerID=40&md5=c4c69491fb4bd29c83e775e937b2e5ce",Article,Scopus,2-s2.0-37749035651
