Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hart, J.J., Tako, E., Kochian, L.V., Glahn, R.P.","Identification of Black Bean (Phaseolus vulgaris L.) Polyphenols That Inhibit and Promote Iron Uptake by Caco-2 Cells",2015,"Journal of Agricultural and Food Chemistry","63","25",,"5950","5956",,3,10.1021/acs.jafc.5b00531,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934299603&partnerID=40&md5=21a6df5fc02052bd77377edc8d277adb",Article,Scopus,2-s2.0-84934299603
"Kochian, L.V., Piñeros, M.A., Liu, J., Magalhaes, J.V.","Plant adaptation to acid soils: The molecular basis for crop aluminum resistance",2015,"Annual Review of Plant Biology","66",,,"571","598",,4,10.1146/annurev-arplant-043014-114822,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928893389&partnerID=40&md5=7a761b44c21c9bffa2b0e3802bb2fa3c",Article,Scopus,2-s2.0-84928893389
"Li, J.-Y., Liu, J., Dong, D., Jia, X., McCouch, S.R., Kochian, L.V.","Natural variation underlies alterations in Nramp aluminum transporter (NRAT1) expression and function that play a key role in rice aluminum tolerance",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","17",,"6503","6508",,8,10.1073/pnas.1318975111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899639942&partnerID=40&md5=47f15151ba616aff827e75c47fed5d9e",Article,Scopus,2-s2.0-84899639942
"Kochian, L.V., Lucas, W.J.","Plant mineral nutrient sensing and signaling",2014,"Journal of Integrative Plant Biology","56","3",,"190","191",,,10.1111/jipb.12180,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897785722&partnerID=40&md5=e0c8d32dcc9a7df687259bd8821348a0",Editorial,Scopus,2-s2.0-84897785722
"Guimaraes, C.T., Simoes, C.C., Pastina, M.M., Maron, L.G., Magalhaes, J.V., Vasconcellos, R.C.C., Guimaraes, L.J.M., Lana, U.G.P., Tinoco, C.F.S., Noda, R.W., Jardim-Belicuas, S.N., Kochian, L.V., Alves, V.M.C., Parentoni, S.N.","Genetic dissection of Al tolerance QTLs in the maize genome by high density SNP scan",2014,"BMC Genomics","15","1", 153,"","",,2,10.1186/1471-2164-15-153,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899480553&partnerID=40&md5=acf25b0bc90db1693e1fe76e7ca43082",Article,Scopus,2-s2.0-84899480553
"Caniato, F.F., Hamblin, M.T., Guimaraes, C.T., Zhang, Z., Schaffert, R.E., Kochian, L.V., Magalhaes, J.V.","Association mapping provides insights into the origin and the fine structure of the sorghum aluminum tolerance locus, AltSB",2014,"PLoS ONE","9","1", e87438,"","",,6,10.1371/journal.pone.0087438,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900393799&partnerID=40&md5=019d1d8ca81e176d152bce96e9be61a5",Article,Scopus,2-s2.0-84900393799
"Milner, M.J., Piñeros, M., Kochian, L.V.","Molecular and physiological mechanisms of plant tolerance to toxic metals",2014,"Plant Abiotic Stress, Second Edition",,,,"179","201",,1,10.1002/9781118764374.ch7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926438521&partnerID=40&md5=1540f0a16bf10a0955a63c7a9d653e12",Book Chapter,Scopus,2-s2.0-84926438521
"Zhai, Z., Gayomba, S.R., Jung, H.-I., Vimalakumari, N.K., Piñeros, M., Craft, E., Rutzke, M.A., Danku, J., Lahner, B., Punshon, T., Guerinot, M.L., Salt, D.E., Kochian, L.V., Vatamaniuk, O.K.","OPT3 is a phloem-specific iron transporter that is essential for systemic iron signaling and redistribution of iron and cadmium in arabidopsis",2014,"Plant Cell","26","5",,"2249","2264",,10,10.1105/tpc.114.123737,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903616546&partnerID=40&md5=6eb955bfa0f0aefcaa7f29dcc56d9f1e",Article,Scopus,2-s2.0-84903616546
"Liu, J., Piñeros, M.A., Kochian, L.V.","The role of aluminum sensing and signaling in plant aluminum resistance",2014,"Journal of Integrative Plant Biology","56","3",,"221","230",,13,10.1111/jipb.12162,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895859873&partnerID=40&md5=1919688ef5c2e1c180e22c7a9b364edb",Review,Scopus,2-s2.0-84895859873
"Wang, X., Wang, Y., Piñeros, M.A., Wang, Z., Wang, W., Li, C., Wu, Z., Kochian, L.V., Wu, P.","Phosphate transporters OsPHT1;9 and OsPHT1;10 are involved in phosphate uptake in rice",2014,"Plant, Cell and Environment","37","5",,"1159","1170",,4,10.1111/pce.12224,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898058488&partnerID=40&md5=e080fd1e52cb41bddf4d218edb45c887",Article,Scopus,2-s2.0-84898058488
"Matonyei, T.K., Cheprot, R.K., Liu, J., Piñeros, M.A., Shaff, J.E., Gudu, S., Were, B., Magalhaes, J.V., Kochian, L.V.","Physiological and molecular analysis of aluminum tolerance in selected Kenyan maize lines",2014,"Plant and Soil","377","1-2",,"357","367",,1,10.1007/s11104-013-1976-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898058493&partnerID=40&md5=e284ae316fdf51095575e3fad9e6c92c",Article,Scopus,2-s2.0-84898058493
"Milner, M.J., Pence, N.S., Liu, J., Kochian, L.V.","Identification of a novel pathway involving a GATA transcription factor in yeast and possibly in plant Zn uptake and homeostasis",2014,"Journal of Integrative Plant Biology","56","3",,"271","280",,1,10.1111/jipb.12169,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895870611&partnerID=40&md5=b78d17e618967e09bd6bea8c28f00f87",Article,Scopus,2-s2.0-84895870611
"Milner, M.J., Mitani-Ueno, N., Yamaji, N., Yokosho, K., Craft, E., Fei, Z., Ebbs, S., Clemencia Zambrano, M., Ma, J.F., Kochian, L.V.","Root and shoot transcriptome analysis of two ecotypes of Noccaea caerulescens uncovers the role of NcNramp1 in Cd hyperaccumulation",2014,"Plant Journal","78","3",,"398","410",,5,10.1111/tpj.12480,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899641045&partnerID=40&md5=cfb7e87c6f0976eaf81a5aa7711e8caf",Article,Scopus,2-s2.0-84899641045
